age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,cond
19.0,4,119850.75,10.0,0,3,0,-1,0,0.0,0.0,50.0,1,0
59.0,3,37971.2,9.0,-1,6,-1,0,1,0.0,0.0,30.0,1,0
24.0,4,237970.36,13.0,0,6,3,0,0,0.0,0.0,40.0,1,0
30.0,4,491673.4,10.0,0,2,2,1,0,0.0,0.0,40.0,0,0
46.392956,4,159502.62,9.0,2,2,1,0,0,0.0,2020.9912,45.0,1,0
25.0,4,85466.86,9.0,2,3,1,0,1,0.0,0.0,40.0,0,0
34.0,5,79190.19,9.0,2,2,1,0,0,0.0,1823.8639,40.0,1,0
21.0,4,268035.28,9.0,0,2,3,1,0,0.0,0.0,32.0,1,0
26.0,4,219924.42,8.0,0,6,3,0,1,0.0,0.0,40.0,1,0
25.0,4,238593.38,10.0,2,3,1,0,0,0.0,0.0,40.0,1,0
31.0,4,101000.625,13.0,0,7,0,0,1,0.0,0.0,40.0,1,0
28.0,1,61156.316,13.0,2,7,1,0,0,0.0,0.0,50.0,1,0
20.0,4,112393.73,9.0,0,2,3,-1,0,0.0,0.0,20.0,1,0
44.0,1,173918.1,14.0,-1,7,2,0,1,0.0,0.0,40.0,1,0
24.0,4,142808.66,9.0,0,3,3,0,1,0.0,0.0,40.0,1,0
20.0,4,168135.83,10.0,0,3,3,0,1,0.0,0.0,30.0,1,0
48.0,1,124158.766,13.0,-1,7,2,0,1,0.0,0.0,40.0,1,0
25.0,5,111664.14,10.0,0,2,0,0,0,0.0,0.0,30.0,1,0
50.0,4,173107.55,9.0,-1,2,0,0,0,0.0,0.0,40.0,1,0
35.0,4,46812.395,10.0,2,6,1,0,0,0.0,0.0,45.0,1,0
34.0,4,240135.38,11.0,2,3,1,0,1,0.0,0.0,36.0,1,0
19.0,4,249392.14,10.0,0,3,3,0,1,0.0,0.0,4.7985406,0,0
22.0,4,235130.64,10.0,0,5,3,0,1,0.0,0.0,15.0,0,0
