age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,cond
29.0,4,95482.45,13.0,0,2,0,0,0,0.0,0.0,40.0,1,0
56.845768,4,169101.97,10.0,-1,3,0,0,1,0.0,0.0,40.0,1,0
53.0,4,463275.47,7.0,2,2,1,0,0,0.0,0.0,40.0,1,0
61.0,2,200852.62,10.0,2,3,1,0,0,0.0,0.0,20.0,1,0
33.0,4,399527.6,10.0,2,3,1,0,0,0.0,0.0,40.0,1,0
37.0,4,218855.67,13.0,0,3,2,0,1,0.0,0.0,40.0,1,0
19.0,4,135329.8,9.0,0,3,0,0,1,0.0,0.0,40.0,1,0
26.0,4,260460.38,9.0,0,3,3,0,0,0.0,0.0,30.0,1,0
28.0,4,223378.25,5.0,2,2,1,0,0,0.0,0.0,40.0,0,0
40.0,6,290598.53,13.0,0,7,0,0,0,0.0,0.0,52.0,1,0
48.0,4,69963.41,14.0,2,7,1,0,1,0.0,0.0,40.0,1,0
39.0,5,164594.55,10.0,2,3,1,0,0,0.0,0.0,40.0,1,0
33.0,4,308471.8,13.0,0,7,0,0,0,0.0,0.0,55.0,1,0
23.0,4,44278.414,9.0,2,3,1,0,0,0.0,0.0,40.0,1,0
23.0,5,145687.19,9.0,2,3,1,0,0,0.0,0.0,50.0,1,0
57.0,4,123820.08,4.0,1,2,0,-1,0,0.0,0.0,40.0,0,0
18.0,4,126485.56,9.0,0,3,3,0,0,0.0,0.0,16.0,1,0
35.0,5,258467.73,9.0,0,2,0,0,0,0.0,902.69867,60.0,1,0
20.0,4,193757.19,10.0,2,2,1,0,0,0.0,0.0,40.0,1,0
32.0,4,27595.105,9.0,0,2,2,0,0,4508.1235,0.0,40.0,1,0
26.0,4,144744.83,13.0,0,7,3,0,0,0.0,0.0,40.0,1,0
20.0,4,57522.4,7.0,2,2,1,0,1,0.0,0.0,26.569788,1,0
29.0,5,325572.88,11.0,2,4,1,0,0,0.0,0.0,40.0,1,0
30.0,4,60124.035,10.0,-1,3,3,0,1,0.0,0.0,7.1925025,1,0
22.0,3,382382.16,9.0,0,2,3,0,0,0.0,0.0,22.813581,1,0
47.0,3,203059.06,10.0,2,3,1,0,0,0.0,0.0,40.0,1,0
25.0,4,333636.97,13.0,0,6,3,0,1,0.0,0.0,40.0,1,0
61.0,1,205666.78,12.0,-1,2,2,1,1,0.0,0.0,40.0,1,0
39.0,4,141290.2,9.0,2,3,1,0,1,0.0,0.0,40.0,1,0
31.0,5,144891.61,9.0,0,2,3,0,0,0.0,0.0,20.0,1,0
32.0,4,202389.8,13.0,0,5,3,0,0,0.0,0.0,16.0,1,0
33.0,4,142306.53,9.0,2,3,1,0,0,0.0,0.0,40.0,1,0
22.0,4,196399.61,10.0,0,3,3,0,0,0.0,0.0,25.0,1,0
28.0,4,105059.45,9.0,2,2,1,0,0,0.0,0.0,40.0,1,0
42.0,4,161489.36,7.0,2,2,1,0,0,537.92224,0.0,40.0,0,0
36.0,3,34343.24,9.0,1,2,2,0,1,0.0,0.0,40.0,1,0
19.0,4,208882.81,10.0,0,3,3,0,0,0.0,0.0,30.0,1,0
37.0,4,93271.336,7.0,-1,3,2,0,1,0.0,0.0,40.0,1,0
22.0,4,220128.28,9.0,0,2,0,0,0,0.0,0.0,99.0,1,0
24.0,4,140788.83,10.0,0,7,0,0,0,0.0,0.0,40.0,1,0
26.0,4,220883.4,9.0,1,2,2,0,1,0.0,0.0,35.0,1,0
20.0,4,137366.48,9.0,0,1,0,0,0,0.0,0.0,40.0,1,0
23.0,5,226168.23,9.0,0,2,3,0,1,0.0,0.0,50.0,1,0
22.0,4,221080.03,13.0,0,3,3,1,0,0.0,0.0,12.0,1,0
39.0,3,223353.11,13.0,-1,2,0,0,0,0.0,0.0,40.0,1,0
29.0,1,138228.6,13.0,0,7,0,0,1,0.0,0.0,26.85758,1,0
79.05528,4,195908.44,9.0,-1,2,0,0,1,0.0,0.0,8.0,1,0
59.73939,4,87662.67,10.0,2,3,1,0,1,0.0,1607.5724,40.0,0,0
32.0,4,255775.83,13.0,2,7,1,0,0,0.0,0.0,40.0,1,0
36.0,4,405377.34,9.0,-1,3,2,0,1,0.0,0.0,40.0,1,0
45.065533,4,200825.86,4.0,2,2,1,0,0,0.0,0.0,40.0,1,0
39.0,4,207713.84,9.0,2,3,1,0,0,0.0,0.0,40.0,1,0
21.686836,4,198119.06,9.0,2,2,1,0,0,0.0,0.0,40.0,1,0
53.0,4,108908.305,9.0,0,1,0,0,1,0.0,0.0,40.0,1,0
42.0,4,35070.562,13.0,2,3,1,0,0,0.0,0.0,40.0,1,0
17.0,4,198672.33,7.0,0,2,3,0,0,0.0,0.0,10.0,1,0
57.0,4,31715.916,10.0,2,3,1,0,0,0.0,0.0,40.0,1,0
24.0,4,29181.078,6.0,2,2,1,0,0,0.0,0.0,40.0,1,0
19.0,4,374688.9,9.0,0,2,-1,0,0,0.0,0.0,40.0,1,0
36.0,4,142116.52,9.0,2,3,1,0,0,0.0,0.0,40.0,1,0
41.0,4,361728.62,9.0,2,2,1,0,0,0.0,0.0,40.0,1,0
27.0,3,386691.75,10.0,2,6,1,0,1,4437.191,1850.6141,40.0,1,0
29.0,3,238879.22,10.0,2,2,1,0,0,0.0,0.0,60.0,1,0
50.0,1,73319.695,12.0,-1,2,0,1,0,4566.402,0.0,40.0,1,0
25.0,4,141056.61,10.0,0,3,3,0,1,0.0,0.0,40.0,1,0
36.0,4,127920.36,7.0,-1,2,3,0,0,0.0,0.0,32.71543,1,0
40.0,3,59409.965,13.0,-1,3,2,0,1,0.0,0.0,40.0,1,0
34.0,4,291104.44,9.0,2,2,1,0,0,0.0,0.0,60.0,1,0
44.0,4,207678.84,9.0,2,3,1,0,0,0.0,0.0,40.0,1,0
64.0,4,184346.03,9.0,-1,3,-1,0,1,0.0,0.0,40.0,1,0
69.0,4,209451.88,9.0,-1,3,0,0,1,2891.512,0.0,24.0,1,0
21.0,4,406398.72,9.0,0,3,3,0,1,0.0,0.0,35.0,1,0
31.0,4,228118.2,11.0,2,2,1,0,0,0.0,0.0,40.0,1,0
31.0,5,204364.62,11.0,2,1,1,0,0,0.0,0.0,55.0,1,0
27.0,4,287295.5,10.0,0,4,-1,1,0,0.0,0.0,40.0,0,0
24.0,4,218973.03,12.0,0,3,0,0,0,0.0,0.0,50.0,1,0
41.0,4,201022.72,13.0,-1,3,2,0,1,0.0,0.0,10.0,1,0
62.0,4,46747.797,6.0,-1,3,2,0,1,0.0,0.0,40.0,1,0
48.0,4,202399.34,13.0,-1,2,2,0,0,0.0,0.0,40.0,1,0
64.0,4,132177.05,10.0,-1,3,2,0,1,0.0,0.0,40.0,1,0
36.0,4,102810.86,7.0,0,3,-1,0,1,0.0,0.0,30.0,1,0
31.0,4,180972.2,9.0,0,2,0,0,0,0.0,0.0,40.0,1,0
