age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,cond
22.0,4,247246.27,9.0,-1,2,3,0,0,0.0,0.0,40.0,1,0
32.0,4,361404.9,13.0,0,2,3,1,0,0.0,0.0,40.0,1,0
24.0,4,78383.484,10.0,0,3,3,0,1,0.0,0.0,30.0,1,0
31.0,4,38731.992,9.0,2,3,1,0,0,0.0,0.0,40.0,1,0
46.0,4,315826.72,9.0,2,3,1,0,0,0.0,0.0,40.0,1,0
33.0,2,375216.12,10.0,0,3,0,1,1,0.0,0.0,40.0,1,0
31.0,4,139224.9,9.0,0,3,0,0,0,0.0,0.0,35.0,1,0
31.0,4,166738.84,9.0,0,2,0,0,0,0.0,0.0,40.0,1,0
45.0,4,147207.02,9.0,2,2,1,0,0,0.0,0.0,40.0,1,0
32.0,4,199652.73,9.0,0,2,0,0,0,0.0,0.0,40.0,1,0
71.16521,5,215088.55,9.0,-1,6,0,0,1,0.0,0.0,30.0,1,0
65.0,4,57943.676,10.0,0,2,0,0,0,0.0,0.0,40.0,1,0
38.0,4,28157.086,9.0,-1,3,2,1,1,0.0,0.0,40.0,0,0
30.0,4,167923.03,13.0,2,3,1,0,0,0.0,0.0,40.0,1,0
19.0,4,54891.547,9.0,0,3,3,0,1,4026.3625,0.0,20.0,1,0
32.0,4,113381.0,10.0,0,2,0,0,0,0.0,0.0,40.0,1,0
33.0,5,187676.17,9.0,2,2,1,0,0,0.0,0.0,50.0,1,0
25.0,4,279663.5,9.0,0,3,3,0,1,0.0,0.0,40.0,1,0
33.0,4,89153.445,9.0,0,2,3,0,0,0.0,0.0,48.0,1,0
21.0,4,167275.5,8.0,0,2,0,0,0,0.0,0.0,30.0,1,0
29.0,4,151440.39,12.0,2,2,1,0,0,0.0,0.0,55.0,1,0
48.192516,4,374881.03,9.0,2,3,1,-1,0,0.0,0.0,40.0,0,0
20.0,4,283840.1,2.0,0,3,3,0,0,0.0,0.0,40.0,1,0
36.0,4,195535.42,14.0,1,7,2,-1,0,0.0,0.0,40.0,0,0
26.0,4,174629.78,13.0,0,3,0,-1,0,0.0,0.0,35.0,1,0
23.0,4,198250.19,9.0,0,6,3,0,0,0.0,0.0,20.0,1,0
69.0,4,89651.82,9.0,0,3,0,-1,1,0.0,0.0,25.0,0,0
27.0,4,24290.48,12.0,2,2,1,0,0,0.0,0.0,40.0,1,0
52.0,5,101838.87,9.0,2,2,1,0,0,0.0,0.0,36.0,1,0
51.09143,4,305507.2,6.0,2,2,1,0,0,0.0,0.0,30.867521,1,0
34.0,4,236009.14,10.0,0,6,0,1,1,0.0,0.0,40.0,1,0
19.0,4,150376.56,9.0,2,2,-1,0,0,0.0,0.0,40.0,1,0
45.0,4,197872.92,7.0,2,1,1,0,0,0.0,0.0,40.0,1,0
31.0,4,208938.81,9.0,2,2,1,0,0,0.0,0.0,40.0,1,0
41.0,4,201957.52,10.0,0,3,0,0,0,0.0,0.0,40.0,1,0
40.0,4,157955.34,9.0,0,2,2,-1,1,0.0,0.0,40.0,1,0
35.0,1,33367.59,14.0,0,7,0,0,1,0.0,0.0,40.0,1,0
25.0,4,131231.12,10.0,0,5,2,-1,0,0.0,0.0,30.0,0,0
24.0,4,28568.041,10.0,0,5,0,0,1,0.0,0.0,40.0,1,0
