step,mloss,gloss,loss
100.0,1.0209,12.9047,13.9256
200.0,0.8157,0.9885,1.8042
300.0,0.8018,0.8798,1.6816
400.0,0.7948,0.7746,1.5694
500.0,0.7782,0.7235,1.5017
600.0,0.7679,0.6778,1.4457
700.0,0.7708,0.6492,1.42
800.0,0.7632,0.6308,1.3940000000000001
900.0,0.7644,0.6372,1.4016
1000.0,0.7685,0.6225,1.391
1100.0,0.7636,0.5652,1.3288
1200.0,0.7581,0.5329,1.291
1300.0,0.7618,0.5559,1.3176999999999999
1400.0,0.7572,0.5346,1.2917999999999998
1500.0,0.7624,0.5167,1.2791000000000001
1600.0,0.7529,0.4876,1.2405
1700.0,0.7616,0.5243,1.2859
1800.0,0.7623,0.4995,1.2618
1900.0,0.7559,0.5028,1.2587000000000002
2000.0,0.7554,0.4754,1.2308
2100.0,0.7586,0.4644,1.223
2200.0,0.75,0.4859,1.2359
2300.0,0.7642,0.5057,1.2699
2400.0,0.7514,0.4582,1.2096
2500.0,0.755,0.4436,1.1985999999999999
2600.0,0.7501,0.4383,1.1884000000000001
2700.0,0.751,0.4198,1.1708
2800.0,0.7489,0.4188,1.1677
2900.0,0.7476,0.4112,1.1588
3000.0,0.7505,0.4201,1.1705999999999999
3100.0,0.7509,0.4152,1.1661000000000001
3200.0,0.7485,0.4024,1.1509
3300.0,0.7497,0.4078,1.1575
3400.0,0.7471,0.3957,1.1428
3500.0,0.7452,0.3978,1.143
3600.0,0.747,0.3944,1.1414
3700.0,0.745,0.4038,1.1488
3800.0,0.7438,0.3902,1.134
3900.0,0.7442,0.3914,1.1356
4000.0,0.7497,0.3891,1.1388
4100.0,0.7504,0.3911,1.1415
4200.0,0.7443,0.3854,1.1297
4300.0,0.7492,0.3885,1.1377
4400.0,0.7492,0.4215,1.1707
4500.0,0.748,0.3945,1.1425
4600.0,0.7471,0.3877,1.1348
4700.0,0.7422,0.383,1.1252
4800.0,0.7482,0.3811,1.1293
4900.0,0.7516,0.3839,1.1355
5000.0,0.7438,0.383,1.1268
5100.0,0.7413,0.384,1.1253
5200.0,0.7424,0.3816,1.1239999999999999
5300.0,0.7418,0.3822,1.124
5400.0,0.7396,0.381,1.1206
5500.0,0.7424,0.3775,1.1199
5600.0,0.7378,0.3762,1.1139999999999999
5700.0,0.7394,0.3757,1.1151
5800.0,0.7425,0.3773,1.1198000000000001
5900.0,0.7412,0.3756,1.1168
6000.0,0.7408,0.374,1.1148
6100.0,0.7359,0.3737,1.1096
6200.0,0.7418,0.3719,1.1137000000000001
6300.0,0.7446,0.3736,1.1182
6400.0,0.7341,0.3716,1.1057
6500.0,0.7385,0.3713,1.1098000000000001
6600.0,0.7378,0.367,1.1048
6700.0,0.7384,0.369,1.1074
6800.0,0.7407,0.3716,1.1123
6900.0,0.7398,0.3641,1.1038999999999999
7000.0,0.737,0.3677,1.1047
7100.0,0.7398,0.3648,1.1046
7200.0,0.7389,0.3677,1.1066
7300.0,0.7381,0.3645,1.1026
7400.0,0.7371,0.3648,1.1019
7500.0,0.7355,0.3664,1.1019
7600.0,0.7416,0.3604,1.102
7700.0,0.7368,0.3625,1.0993
7800.0,0.7345,0.3604,1.0949
7900.0,0.735,0.361,1.096
8000.0,0.739,0.3614,1.1004
8100.0,0.7299,0.3611,1.091
8200.0,0.7349,0.3602,1.0951
8300.0,0.7308,0.3591,1.0899
8400.0,0.7301,0.3589,1.089
8500.0,0.737,0.3601,1.0971
8600.0,0.7369,0.3587,1.0956000000000001
8700.0,0.7409,0.3554,1.0963
8800.0,0.7336,0.36,1.0936
8900.0,0.7355,0.3589,1.0944
9000.0,0.7408,0.353,1.0937999999999999
9100.0,0.7344,0.3578,1.0922
9200.0,0.7369,0.3551,1.092
9300.0,0.7368,0.3556,1.0924
9400.0,0.734,0.3527,1.0867
9500.0,0.7308,0.3558,1.0866
9600.0,0.7344,0.354,1.0884
9700.0,0.731,0.3543,1.0853
9800.0,0.7328,0.3571,1.0899
9900.0,0.7341,0.3537,1.0878
10000.0,0.7305,0.3513,1.0818
10100.0,0.7287,0.3535,1.0822
10200.0,0.7404,0.3482,1.0886
10300.0,0.7343,0.359,1.0933
10400.0,0.7275,0.3476,1.0751
10500.0,0.7394,0.3498,1.0892
10600.0,0.737,0.3508,1.0878
10700.0,0.735,0.3536,1.0886
10800.0,0.7293,0.3495,1.0788
10900.0,0.7354,0.3509,1.0863
11000.0,0.7302,0.3492,1.0794
11100.0,0.7312,0.3466,1.0777999999999999
11200.0,0.7263,0.3496,1.0758999999999999
11300.0,0.7341,0.3491,1.0832
11400.0,0.7347,0.349,1.0836999999999999
11500.0,0.731,0.3498,1.0808
11600.0,0.732,0.3485,1.0805
11700.0,0.7386,0.3473,1.0859
11800.0,0.7297,0.3466,1.0763
11900.0,0.7277,0.348,1.0756999999999999
12000.0,0.7295,0.3473,1.0768
12100.0,0.7273,0.3478,1.0751
12200.0,0.726,0.3426,1.0686
12300.0,0.7267,0.3473,1.074
12400.0,0.733,0.348,1.081
12500.0,0.7253,0.3431,1.0684
12600.0,0.7308,0.345,1.0758
12700.0,0.7256,0.3436,1.0692
12800.0,0.7293,0.3461,1.0754
12900.0,0.7315,0.3467,1.0782
13000.0,0.7283,0.3422,1.0705
13100.0,0.7257,0.3485,1.0742
13200.0,0.7298,0.3432,1.073
13300.0,0.7297,0.3436,1.0733000000000001
13400.0,0.7271,0.3432,1.0703
13500.0,0.73,0.3437,1.0737
13600.0,0.7276,0.3425,1.0701
