age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
30,3,67478,9,2,3,1,0,1,0,0,40,1,1
39,6,87440,13,2,6,1,0,0,0,0,40,1,1
54,4,333637,13,0,7,0,0,0,0,0,40,1,1
23,4,177837,10,0,3,0,0,0,0,0,40,1,0
53,4,182257,13,-1,6,0,0,0,8480,0,60,1,1
23,4,286905,7,2,2,1,0,0,0,0,30,1,0
19,4,179859,9,0,2,3,0,1,0,0,40,1,0
32,4,242334,9,2,6,1,0,0,0,0,40,1,1
27,3,171940,12,0,7,0,0,0,0,0,40,1,0
23,4,162291,9,0,2,3,0,0,0,0,20,1,0
45,5,410845,4,2,1,1,0,0,0,0,70,1,1
22,4,161552,9,0,3,3,0,0,0,0,32,1,0
48,4,447296,4,2,2,1,0,0,0,0,40,0,0
63,4,121852,10,-1,6,0,0,1,3227,0,40,1,0
29,4,211308,14,2,7,1,0,0,0,2229,80,1,1
25,5,224677,13,2,3,1,0,0,0,0,28,0,0
45,5,121411,9,2,6,1,0,0,0,0,50,1,0
46,6,301843,9,2,3,1,0,1,0,0,50,1,1
41,4,401815,13,2,3,1,0,0,5076,0,40,1,1
28,3,54181,9,0,3,0,0,0,0,0,40,1,0
53,4,144226,14,2,7,1,0,0,5591,0,55,1,1
44,4,111407,10,2,3,1,0,0,0,0,40,1,0
39,4,202944,5,-1,2,3,0,1,0,0,16,1,0
41,3,196055,13,2,7,1,0,1,0,0,40,1,1
26,4,304246,9,-1,3,0,0,0,2807,0,50,1,0
52,1,84720,12,-1,3,2,0,1,0,0,32,1,0
62,4,101113,14,2,7,1,0,0,99916,0,30,1,1
45,4,301222,14,0,7,0,0,1,0,2028,40,1,1
25,4,288660,10,0,3,0,0,0,0,0,50,1,0
41,4,234620,10,2,2,1,0,0,8255,0,40,1,1
72,5,1490400,16,0,1,0,-1,0,99999,0,99,0,1
39,4,79013,10,2,6,1,0,0,0,0,45,1,1
50,4,225307,16,-1,7,0,0,1,99623,0,59,1,1
52,4,198191,9,-1,3,2,0,1,0,0,40,1,0
63,6,94443,5,2,6,1,0,0,0,0,26,1,1
33,4,169556,9,-1,3,2,0,1,0,0,55,1,0
50,4,337551,13,2,3,1,0,0,0,0,40,1,1
40,4,365927,9,2,3,1,0,0,0,0,50,1,1
40,4,181234,13,2,6,1,0,0,7257,0,60,1,1
35,4,177522,9,-1,3,2,0,0,0,0,40,1,0
58,4,227006,9,2,2,1,1,0,0,0,40,1,0
23,2,298897,12,0,3,0,0,1,0,0,15,1,0
31,4,320165,10,2,6,1,0,0,72168,0,50,1,1
57,4,150452,4,2,2,1,0,0,0,0,40,0,0
32,4,141833,13,2,3,1,0,0,0,0,99,1,1
21,4,107608,10,0,3,0,0,1,0,0,20,1,0
42,4,173869,9,-1,2,0,0,1,0,0,40,1,0
59,5,138466,13,2,5,1,0,0,0,0,60,1,0
43,4,114436,9,2,3,1,0,0,0,0,50,1,0
23,4,130757,9,2,2,1,0,0,0,0,40,1,0
49,4,188956,14,2,6,1,0,0,89542,0,56,1,1
33,4,34833,9,2,1,1,0,0,0,0,50,1,1
37,4,325392,9,-1,3,0,0,1,0,0,50,1,0
44,5,53121,10,2,2,1,-1,0,0,0,20,1,0
