No NaNs in numerical features, skipping
self.category_embeddings.weight.shape=torch.Size([34, 4])
self.category_embeddings.weight.shape=torch.Size([34, 4])
epoch: 0, Train MSE: 8.249325, Train CE:1.341019, Train MMD:0.000490, Train Triplet:1.120552, Val MSE:7.217895, Val CE:1.246805, Val MMD:0.000500, Val Triplet:0.502321
epoch: 1, Train MSE: 6.464657, Train CE:1.269084, Train MMD:0.000490, Train Triplet:1.083851, Val MSE:5.655824, Val CE:1.185223, Val MMD:0.000500, Val Triplet:0.497368
epoch: 2, Train MSE: 4.904822, Train CE:1.246531, Train MMD:0.000494, Train Triplet:1.044662, Val MSE:4.262556, Val CE:1.166896, Val MMD:0.000522, Val Triplet:0.503760
epoch: 3, Train MSE: 3.567448, Train CE:1.247425, Train MMD:0.000599, Train Triplet:0.961392, Val MSE:3.121722, Val CE:1.162440, Val MMD:0.000840, Val Triplet:0.499898
epoch: 4, Train MSE: 2.559507, Train CE:1.264162, Train MMD:0.001196, Train Triplet:0.804259, Val MSE:2.278728, Val CE:1.146588, Val MMD:0.002011, Val Triplet:0.501942
epoch: 5, Train MSE: 1.865189, Train CE:1.259025, Train MMD:0.002560, Train Triplet:0.815083, Val MSE:1.759541, Val CE:1.131556, Val MMD:0.003814, Val Triplet:0.490119
epoch: 6, Train MSE: 1.478205, Train CE:1.260196, Train MMD:0.004254, Train Triplet:0.956068, Val MSE:1.541124, Val CE:1.143001, Val MMD:0.005708, Val Triplet:0.494176
epoch: 7, Train MSE: 1.478951, Train CE:1.282151, Train MMD:0.004590, Train Triplet:0.942241, Val MSE:1.880061, Val CE:1.152324, Val MMD:0.002957, Val Triplet:0.507090
epoch: 8, Train MSE: 2.050493, Train CE:1.248201, Train MMD:0.002154, Train Triplet:1.032194, Val MSE:2.774246, Val CE:1.084730, Val MMD:0.003050, Val Triplet:0.499758
epoch: 9, Train MSE: 3.162025, Train CE:1.159002, Train MMD:0.004180, Train Triplet:1.022081, Val MSE:3.321116, Val CE:1.064478, Val MMD:0.005775, Val Triplet:0.489067
epoch: 10, Train MSE: 2.888721, Train CE:1.153454, Train MMD:0.006489, Train Triplet:0.692455, Val MSE:2.434799, Val CE:1.080388, Val MMD:0.011436, Val Triplet:0.556046
