f1,f2,cond
-35.878487,-31.193827,0
-41.97786,-14.187907,0
-18.1991,-21.54742,0
8.441018,4.517127,0
-46.357033,-24.631874,0
38.446354,-49.109135,0
23.25432,-4.06815,0
4.463507,-1.978779,0
40.04195,-55.600227,0
-29.492933,-25.827122,0
-36.297394,-18.373125,0
-34.70285,-18.155113,0
-25.43087,-25.787893,0
40.10474,-49.71485,0
9.963975,-1.5836469,0
6.574508,11.704638,0
11.77701,-3.3534436,0
-46.59589,-20.17628,0
36.69961,-49.814156,0
44.033665,-49.623722,0
37.297726,-47.17005,0
37.975643,-54.53217,0
-22.116802,-32.686764,0
30.86047,-0.14759493,0
38.56642,-57.579338,0
-23.191008,-10.209152,0
43.736565,-48.26619,0
26.699045,13.946715,0
15.1503525,15.137859,0
47.774338,-49.778187,0
-38.85496,-9.323951,0
-4.8405666,7.915318,0
-16.968866,9.457051,0
-32.278316,-27.978119,0
-21.17024,-23.075912,0
40.68475,-54.57177,0
41.14907,-50.151657,0
0.76766753,-3.516846,0
-30.134972,-0.5771093,1
-7.811584,-12.30468,0
-40.103703,-35.289276,0
27.549332,10.184016,0
-12.28536,-30.781673,0
3.6103826,-3.230898,0
40.741585,-47.472397,0
15.345057,18.876554,0
-28.12908,-10.680073,0
45.897926,-48.36556,0
40.165306,-47.780132,0
-34.627678,-20.619955,0
-15.343513,7.742237,1
26.73452,23.40461,0
-34.028557,-21.204912,0
14.730383,3.5442793,0
-37.162834,-11.49717,0
8.673662,0.25470695,0
40.33146,-48.106655,0
-4.511757,9.87911,0
-32.528664,-17.48529,0
-44.430004,-17.348232,0
5.8817663,11.31928,0
-33.115227,-9.153557,0
20.560568,12.232389,0
20.683794,16.041208,0
-27.970102,-34.344612,0
38.68882,-50.16664,0
19.962667,5.062434,0
-24.845516,-18.828196,0
9.260525,5.483405,0
32.843952,-45.971527,0
15.333592,18.394686,0
36.89255,-50.993004,0
43.14407,-54.596718,0
8.714625,-8.81849,0
34.28773,-53.632267,0
14.148655,14.632885,0
38.63478,-51.01484,0
-34.88868,-21.925795,0
-29.14354,-22.761175,0
3.9601936,7.7045135,0
37.712284,-46.738705,0
-13.4862385,-18.73524,0
9.735943,12.801612,0
-33.233257,-19.985641,0
45.293365,-50.13227,0
37.82052,-49.447227,0
37.787037,-52.29481,0
-26.008934,-22.737188,0
41.1968,-52.49439,0
-18.066608,-14.201365,0
-41.913036,16.565536,2
44.404877,-53.36603,0
46.16301,-52.10593,0
-31.397184,-9.118655,0
-16.127665,-16.926327,0
-39.355846,-25.767761,0
-32.64657,37.20169,2
-25.441929,-22.593414,0
39.05608,-51.959778,0
-10.251426,11.864543,0
12.653624,4.1724133,0
0.086076505,-11.533901,0
39.848454,-46.716133,0
38.175327,-47.9897,0
45.287525,-50.188232,0
40.066803,-51.460533,0
10.016191,14.147729,0
-29.39539,-11.609087,0
-8.179792,17.597122,0
40.58797,-55.45241,0
32.723797,-42.52589,0
36.566097,-52.061577,0
42.20325,-50.807785,0
40.849197,-49.037678,0
-35.025196,-9.708943,0
43.887722,-49.426285,0
-42.659424,-13.465304,0
10.853182,1.9173428,0
-32.566273,-30.896347,0
-37.00674,-26.446398,0
-28.809755,-21.37005,0
7.3725324,-5.9589396,0
37.147232,-49.094784,0
-38.70729,0.48402366,0
35.940334,-52.397213,0
31.754377,-48.27855,0
45.976566,-49.19442,0
-43.609123,-17.007504,0
16.585443,30.102045,0
43.671074,-51.241585,0
-23.72683,-27.184217,0
-44.72213,-9.374672,0
11.202956,15.144388,0
38.405193,-49.690502,0
18.004095,17.542913,0
-31.879395,-27.14812,0
-35.04993,-15.204394,0
-24.629839,-14.031808,0
15.655096,-7.6076274,0
41.12774,-48.174007,0
35.291874,-43.750584,0
41.52027,-47.715588,0
36.554226,-49.610043,0
-37.418983,-9.692531,0
-35.23816,-24.084867,0
-35.644302,-26.768318,0
3.2135694,6.8176246,0
7.5584335,19.640871,0
42.624466,-46.923138,0
-2.4386322,3.0709481,0
41.778366,-48.26466,0
-22.29998,-10.6752405,0
-25.430206,-8.874851,0
-20.371376,-31.914274,0
-30.905268,-24.442184,0
-27.966978,-14.423593,0
42.871384,-44.596024,0
43.688694,-50.519165,0
43.28243,-53.89667,0
23.508524,3.4632087,0
3.904878,8.130287,0
-26.033875,-14.8448925,0
46.321358,-46.33373,0
-31.047407,-10.974082,0
44.019722,-51.571205,0
31.840967,15.705072,0
39.534046,-48.04315,0
-29.494143,-22.20672,0
13.361449,7.7252374,0
-37.609474,-22.734575,0
-36.08291,-23.148893,0
-24.54129,-12.427384,0
-26.794867,-26.30461,0
16.157711,22.038845,0
-0.06542565,21.398787,0
34.83418,-54.68265,0
-34.231987,-28.605894,0
41.89218,-49.594692,0
39.34835,-52.535156,0
26.612593,5.4290376,0
8.020622,30.679064,0
-28.021828,-12.907364,0
-34.132915,-28.186026,0
-41.535282,-12.432564,0
-23.519783,-25.79889,0
-44.1524,-17.066029,0
43.737247,-51.729607,0
-47.55506,-7.2042327,0
-25.540731,-14.942269,0
43.036053,-54.448746,0
12.810093,-11.325956,0
-26.84336,-23.406044,0
38.871693,-54.54173,0
-24.00574,-24.77983,0
