age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,cond
33.0,4,101900.9,10.0,2,2,1,0,0,0.0,0.0,50.0,1,0
31.0,4,207823.95,6.0,2,3,1,0,1,0.0,0.0,40.0,1,0
56.0,4,255731.92,3.0,2,2,1,0,0,0.0,0.0,50.0,0,0
63.0,4,166694.83,9.0,2,2,1,0,0,0.0,0.0,49.000206,1,0
39.0,5,140769.25,10.0,2,2,1,0,0,0.0,0.0,40.0,1,0
50.646362,4,365907.66,13.0,2,3,1,0,0,0.0,0.0,40.0,1,0
21.0,4,202316.62,10.0,0,3,-1,0,1,0.0,0.0,40.0,1,0
40.0,4,207064.0,7.0,-1,2,2,1,1,0.0,0.0,20.0,1,0
69.0,1,125119.51,9.0,-1,4,-1,0,1,0.0,0.0,40.0,1,0
63.0,4,132715.4,9.0,-1,3,2,0,1,0.0,0.0,40.0,1,0
55.0,4,280064.25,9.0,2,7,1,0,0,0.0,0.0,45.0,1,0
42.0,4,95563.875,9.0,0,2,0,0,0,0.0,0.0,40.0,1,0
22.0,4,117551.1,9.0,0,2,-1,0,1,0.0,0.0,40.0,1,0
32.0,4,154081.86,13.0,0,6,0,0,1,0.0,0.0,40.0,1,0
38.0,4,13533.815,13.0,-1,3,0,0,1,0.0,0.0,35.0,1,0
25.0,4,220928.16,9.0,0,3,0,0,1,0.0,0.0,40.0,1,0
19.0,4,223035.08,9.0,0,2,3,0,0,0.0,0.0,40.0,1,0
26.0,4,375964.97,9.0,0,2,3,0,0,0.0,0.0,40.0,1,0
39.0,1,254720.67,11.0,2,3,1,0,1,0.0,0.0,9.370446,1,0
46.0,4,115592.6,10.0,2,3,1,0,1,0.0,0.0,40.0,1,0
40.0,4,117034.56,10.0,2,6,1,0,0,0.0,0.0,40.0,1,0
22.0,4,101382.03,6.0,0,2,0,0,0,0.0,0.0,35.0,1,0
47.0,2,237783.94,9.0,0,6,2,1,1,0.0,0.0,40.0,1,0
24.0,4,51769.01,7.0,0,1,3,0,0,0.0,0.0,40.0,1,0
53.0,4,269040.4,13.0,-1,2,0,0,0,0.0,0.0,20.0,0,0
26.0,4,190488.44,13.0,0,6,0,0,0,0.0,0.0,45.0,1,0
38.0,4,29832.357,1.0,0,1,0,-1,0,0.0,0.0,40.0,1,0
26.0,4,198478.75,9.0,0,4,3,0,0,0.0,0.0,40.0,1,0
33.0,4,236961.88,9.0,2,2,1,0,0,0.0,0.0,40.0,0,0
24.0,4,195458.39,9.0,0,3,0,0,0,0.0,0.0,40.0,1,0
36.0,4,108027.8,10.0,-1,3,0,0,1,0.0,0.0,40.0,1,0
43.0,1,153648.8,10.0,-1,7,0,0,1,0.0,0.0,40.0,1,0
27.0,4,272326.75,13.0,0,3,0,0,1,0.0,0.0,48.0,1,0
60.0,4,145507.36,10.0,2,2,1,0,0,0.0,0.0,40.0,1,0
38.0,4,198221.83,10.0,-1,2,3,0,0,0.0,0.0,48.0,1,0
36.0,4,101474.45,13.0,0,6,0,0,0,0.0,0.0,29.574522,1,0
19.0,4,337482.44,9.0,0,3,3,1,1,1757.2998,0.0,30.0,1,0
21.0,4,48337.04,10.0,0,2,3,0,1,0.0,0.0,35.0,1,0
49.0,5,90422.53,9.0,2,2,1,0,0,0.0,0.0,50.0,1,0
59.0,4,298113.38,14.0,-1,7,2,-1,0,0.0,1904.4387,40.0,1,0
22.0,4,110125.164,11.0,0,2,0,0,0,0.0,0.0,40.0,1,0
46.0,4,40980.082,9.0,0,7,2,0,1,0.0,0.0,50.0,1,0
48.0,1,121163.914,9.0,-1,3,0,0,1,0.0,0.0,40.0,1,0
58.0,4,131244.64,10.0,2,3,1,0,0,0.0,0.0,40.0,1,0
49.0,4,226327.36,9.0,2,7,1,0,0,0.0,0.0,40.0,1,0
66.0,5,125597.58,9.0,2,7,1,0,0,0.0,0.0,35.0,1,0
35.0,5,192850.58,9.0,0,3,-1,0,0,0.0,0.0,40.0,1,0
37.0,4,191545.52,10.0,-1,2,2,1,1,0.0,0.0,45.0,1,0
59.0,1,156368.72,2.9500966,2,3,1,0,0,0.0,0.0,40.0,1,0
30.0,4,268785.84,9.0,0,2,0,0,0,0.0,0.0,40.0,1,0
41.0,2,226251.55,15.061381,-1,7,0,0,0,0.0,0.0,40.0,1,0
24.0,4,46480.406,9.0,0,3,3,1,1,0.0,0.0,40.0,1,0
17.0,4,309374.38,9.0,0,3,3,0,1,0.0,0.0,20.0,1,0
40.0,4,169471.17,13.0,-1,6,2,0,1,0.0,0.0,60.0,1,0
41.0,4,215290.39,11.0,0,3,0,0,0,0.0,0.0,40.0,1,0
52.0,5,247521.64,5.0,2,2,1,0,0,0.0,0.0,40.0,1,0
63.0,2,206553.62,9.0,2,2,1,0,0,0.0,0.0,40.0,1,0
26.0,4,98882.8,14.0,0,7,0,0,1,0.0,0.0,50.0,1,0
20.0,4,547979.3,10.0,0,3,-1,0,1,0.0,0.0,34.483574,0,0
